User_ID,Movie_ID,Rating_Value,Rating_Date
130,12,4.5,2025-02-14
130,13,4.2,2025-02-15
131,14,4.4,2025-02-16
131,15,4.6,2025-02-17
132,16,4.3,2025-02-18
132,17,4.5,2025-02-19
133,18,4.2,2025-02-20
133,19,4.4,2025-02-21
134,20,4.5,2025-02-22
134,1,4.3,2025-02-23
135,2,4.6,2025-02-24
135,3,4.4,2025-02-25
136,4,4.5,2025-02-26
136,5,4.2,2025-02-27
137,6,4.4,2025-02-28
137,7,4.5,2025-03-01
138,8,4.3,2025-03-02
138,9,4.6,2025-03-03
139,10,4.4,2025-03-04
139,11,4.5,2025-03-05
140,12,4.2,2025-03-06
140,13,4.6,2025-03-07
141,14,4.3,2025-03-08
141,15,4.5,2025-03-09
142,16,4.4,2025-03-10
142,17,4.2,2025-03-11
143,18,4.6,2025-03-12
143,19,4.3,2025-03-13
144,20,4.5,2025-03-14
144,1,4.4,2025-03-15
145,2,4.2,2025-03-16
145,3,4.5,2025-03-17
146,4,4.6,2025-03-18
146,5,4.3,2025-03-19
147,6,4.5,2025-03-20
147,7,4.2,2025-03-21
148,8,4.4,2025-03-22
148,9,4.6,2025-03-23
149,10,4.3,2025-03-24
149,11,4.5,2025-03-25
150,12,4.4,2025-03-26
150,13,4.2,2025-03-27
151,14,4.5,2025-03-28
151,15,4.3,2025-03-29
152,16,4.4,2025-03-30
152,17,4.6,2025-03-31
153,18,4.2,2025-04-01
153,19,4.5,2025-04-02
154,20,4.3,2025-04-03
154,1,4.6,2025-04-04
155,2,4.4,2025-04-05
155,3,4.2,2025-04-06
156,4,4.5,2025-04-07
156,5,4.3,2025-04-08
157,6,4.6,2025-04-09
157,7,4.4,2025-04-10
158,8,4.2,2025-04-11
158,9,4.5,2025-04-12
159,10,4.3,2025-04-13
159,11,4.6,2025-04-14
160,12,4.5,2025-04-15
160,13,4.2,2025-04-16
161,14,4.4,2025-04-17
161,15,4.6,2025-04-18
162,16,4.3,2025-04-19
162,17,4.5,2025-04-20
163,18,4.2,2025-04-21
163,19,4.4,2025-04-22
164,20,4.5,2025-04-23
164,1,4.3,2025-04-24
165,2,4.6,2025-04-25
165,3,4.4,2025-04-26
166,4,4.5,2025-04-27
166,5,4.2,2025-04-28
167,6,4.4,2025-04-29
167,7,4.5,2025-04-30
168,8,4.3,2025-05-01
168,9,4.6,2025-05-02
169,10,4.4,2025-05-03
169,11,4.5,2025-05-04
170,12,4.2,2025-05-05
170,13,4.6,2025-05-06
171,14,4.3,2025-05-07
171,15,4.5,2025-05-08
172,16,4.4,2025-05-09
172,17,4.2,2025-05-10
173,18,4.6,2025-05-11
173,19,4.3,2025-05-12
174,20,4.5,2025-05-13
174,1,4.2,2025-05-14
175,2,4.4,2025-05-15
175,3,4.6,2025-05-16
176,4,4.5,2025-05-17
176,5,4.3,2025-05-18
177,6,4.4,2025-05-19
177,7,4.6,2025-05-20
178,8,4.2,2025-05-21
178,9,4.5,2025-05-22
179,10,4.3,2025-05-23
179,11,4.6,2025-05-24
180,12,4.5,2025-05-25
180,13,4.2,2025-05-26
181,14,4.4,2025-05-27
181,15,4.6,2025-05-28
182,16,4.3,2025-05-29
182,17,4.5,2025-05-30
183,18,4.2,2025-05-31
183,19,4.4,2025-06-01
184,20,4.5,2025-06-02
184,1,4.3,2025-06-03
185,2,4.6,2025-06-04
185,3,4.4,2025-06-05
186,4,4.5,2025-06-06
186,5,4.2,2025-06-07
187,6,4.4,2025-06-08
187,7,4.5,2025-06-09
188,8,4.3,2025-06-10
188,9,4.6,2025-06-11
189,10,4.4,2025-06-12
189,11,4.5,2025-06-13
190,12,4.2,2025-06-14
190,13,4.6,2025-06-15
191,14,4.3,2025-06-16
191,15,4.5,2025-06-17
192,16,4.4,2025-06-18
192,17,4.2,2025-06-19
193,18,4.6,2025-06-20
193,19,4.3,2025-06-21
194,20,4.5,2025-06-22
194,1,4.2,2025-06-23
195,2,4.4,2025-06-24
195,3,4.6,2025-06-25
196,4,4.3,2025-06-26
196,5,4.5,2025-06-27
197,6,4.4,2025-06-28
197,7,4.2,2025-06-29
198,8,4.6,2025-06-30
198,9,4.3,2025-07-01
199,10,4.5,2025-07-02
199,11,4.4,2025-07-03
200,12,4.2,2025-07-04
200,13,4.6,2025-07-05
